SOURCE_ID,DATE,PERMITTED_ACRES,COMPLETED_ACRES,BURN_NAME,BURNTYPE_REPORTED,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,BURN_STATUS
ASF0774B,2021-11-01,601,601,Rodeo-Chediski Broadcast East,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Lakeside",34.220732396765825,-110.11059991455078,Complete
COF0734B,2021-11-01,600,0,Upper Beaver Creek,Broadcast,"U.S. Forest Service, Coconino, Mogollon",34.628,-111.45100000000002,Incomplete
TNF0406B,2021-11-01,200,200,Pine/Strawberry,Broadcast,"U.S. Forest Service, NA, Payson",34.37253038921547,-111.47287777709963,Complete
ASF637B,2021-11-01,33,33,Cerro Trigo,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Springerville",34.20161106418529,-109.54445533752443,Complete
FFD1604B,2021-11-02,100,78,Observatory Mesa,Broadcast,"Municipal Fire Departments, NA, Flagstaff Fire Department",35.2158526513686,-111.69520072937013,Complete
TNF0406B,2021-11-02,500,100,Pine/Strawberry,Broadcast,"U.S. Forest Service, NA, Payson",34.40233240356685,-111.54727152633669,Complete
ASF0630B,2021-11-02,760,400,Mineral Broadcast,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Springerville",34.205,-109.543,Complete
FFD1606B,2021-11-03,100,0,Rogers Lake,Broadcast,"Municipal Fire Departments, NA, Flagstaff Fire Department",35.128784102567984,-111.74781494140626,Incomplete
ASF214B,2021-11-03,1011,1011,BMRD Rodeo-Chediski RX (RCRX),Broadcast,"U.S. Forest Service, Apache Sitgreaves, Black Mesa",34.42153249826554,-110.63448474121093,Complete
TNF0406B,2021-11-03,500,150,Pine/Strawberry,Broadcast,"U.S. Forest Service, NA, Payson",34.40079209602815,-111.56059674072267,Complete
ASF143B,2021-11-03,500,500,Wallow West,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Alpine",33.72830211055699,-109.45397265625,Complete
COF0801B,2021-11-03,202,202,Horseshoe,Broadcast,"U.S. Forest Service, Coconino, Flagstaff (COF)",35.344,-111.791,Complete
ASF0630B,2021-11-03,800,200,Mineral Broadcast,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Springerville",34.205,-109.543,Complete
FFD1604B,2021-11-04,100,0,Observatory Mesa,Broadcast,"Municipal Fire Departments, NA, Flagstaff Fire Department",35.2158526513686,-111.69520072937013,Incomplete
TNF0406B,2021-11-04,500,0,Pine/Strawberry,Broadcast,"U.S. Forest Service, NA, Payson",34.39951733731194,-111.56257084655763,Incomplete
PNF0509P,2021-11-04,55,55,East Side Piles,Pile,"U.S. Forest Service, Prescott, Verde",34.67087085465724,-112.14826564025877,Complete
ASF143B,2021-11-04,500,500,Wallow West,Broadcast,"U.S. Forest Service, Apache Sitgreaves, Alpine",33.72773103935748,-109.45809252929688,Complete
ASF214B,2021-11-04,343,343,BMRD Rodeo-Chediski RX (RCRX),Broadcast,"U.S. Forest Service, Apache Sitgreaves, Black Mesa",34.41,-110.627,Complete
COF0801B,2021-11-04,553,0,Horseshoe,Broadcast,"U.S. Forest Service, Coconino, Flagstaff (COF)",35.34320833317929,-111.79700959777831,Incomplete
