Burn Date,Air District,County,Air Basin,Acres Requested,Acres Burned,Latitude,Longitude,Legal Location,Agency,Burn Unit,Burn Type,Fuel Type,Total Tons
3/2/2016,El Dorado County AQMD,El Dorado,Mountain Counties,20,15,38.606,-120.512,"T13N R17E S15, 21, 22, 28",Leoni Meadows Camp,Leoni Meadows Understory Burn,Broadcast,Natural,UNK
3/2/2016,Northern Sierra AQMD,Plumas,Mountain Counties,150,17,39.966,-120.865,T13N R17E S4 9 10 16,US Forest Service,Unit 1Z,Broadcast,Natural,170
3/2/2016,Shasta County AQMD,Shasta,Sacramento Valley,100,50,40.764,-122.187,T24N R10E S3,US Forest Service,Green Mountain Block G,Broadcast,Natural,750
3/2/2016,Shasta County AQMD,Shasta,Sacramento Valley,50,50,40.759,-122.178,T24N R10E S3,US Forest Service,Green Mountain Block E,Broadcast,Natural,750
3/3/2016,Placer County APCD,Placer,Mountain Counties,0.5,0.5,39.025,-120.804,UNK,US Forest Service,Foresthill Trailer Park Slash Pile,Hand Pile,Natural,0.125
3/3/2016,Tehama County APCD,Tehama,Sacramento Valley,13,1,39.865,-122.895,UNK,US Forest Service,2015-2016 Tehama Pile Burn,UNK,UNK,UNK
3/3/2016,Santa Barbara County APCD,Santa Barbara,South Central Coast,2,1.95,34.756,-120.636,T13N R17E S4 9 10 16,US Military,Purisima Burn,Broadcast,Natural,7.8
3/3/2016,El Dorado County AQMD,El Dorado,Mountain Counties,2,2,38.925,-120.788,UNK,US Forest Service,Georgetown District Admin Piles,Hand Pile,Natural,20
3/3/2016,Placer County APCD,Placer,Lake Tahoe,2,2,39.19,-120.131,UNK,California State Parks,BCSP Hand Piles,Hand Pile,Slash,40
3/3/2016,Northern Sierra AQMD,Nevada,Mountain Counties,5,4,39.32,-120.846,UNK,US Forest Service,White Clound,Hand Pile,Natural,4.68
3/3/2016,El Dorado County AQMD,El Dorado,Mountain Counties,20,5,38.606,-120.512,"T13N R17E S15, 21, 22, 28",Leoni Meadows Camp,Leoni Meadows Understory Burn,Broadcast,Natural,UNK
3/3/2016,Butte County AQMD,Butte,Sacramento Valley,5,5,39.557,-121.259,UNK,National Park Service,Woodleaf/Kanaka Landing Piles,Machine Pile,Slash,178
3/3/2016,South Coast AQMD,San Bernardino,South Coast,10,10,34.087,-117.023,UNK,US Forest Service,Oak Glen Pile,Hand Pile,Brush,21
3/3/2016,Northern Sierra AQMD,Plumas,Mountain Counties,15,12,40.133,-121.007,UNK,US Forest Service,Keddie Rock Cress,Hand Pile,Slash,120
3/3/2016,Tehama County APCD,Tehama,Sacramento Valley,14,14,39.865,-122.909,T17N R17E Sections 29 31 32 MDB&M,US Forest Service,Buttermilk 125 (11),Hand Pile,Natural,73.5
3/3/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,50,30,38.886,-120.022,"T13N R17E S15, 21, 22, 28",US Forest Service,Twin Peaks 204,Hand Pile,Slash,300
3/3/2016,Feather River AQMD,Yuba,Sacramento Valley,46,46,39.399,-121.176,UNK,National Park Service,Pendola Unit 194,Hand Pile,Slash,1621.5
3/3/2016,Butte County AQMD,Butte,Sacramento Valley,84,84,39.558,-121.244,UNK,National Park Service,Woodleaf/Kanaka Grapple Piles,Machine Pile,Brush,5040
3/4/2016,Placer County APCD,Placer,Mountain Counties,0.5,0.5,39.281,-120.12,T17N R17E Sections 29 31 32 MDB&M,Northstar Fire Department,2016 Northstar Fire Pile Burning Project,Broadcast,UNK,2
3/4/2016,Santa Barbara County APCD,Santa Barbara,South Central Coast,2,1.04,34.756,-120.636,T12N R18E S17,US Military,Purisima Burn,Broadcast,Natural,4.16
3/4/2016,Northern Sierra AQMD,Plumas,Mountain Counties,3,3,40.133,-121.007,T12N R18E S17,US Forest Service,Keddie Rock Cress,Hand Pile,Slash,30
3/4/2016,Northern Sierra AQMD,Plumas,Mountain Counties,20,5,40.116,-120.949,T12N R18E S17,US Forest Service,"Round Valley Units 71a,72,73,79,75a,107",Hand Pile,Slash,50
3/4/2016,Placer County APCD,Placer,Mountain Counties,10,10,39.007,-120.892,UNK,Foresters Co-Op,Owl Creek CC,Machine Pile,Slash,120
3/4/2016,Northern Sierra AQMD,Nevada,Mountain Counties,10,10,39.317,-120.929,T12N R18E S17,US Forest Service,Madrone C,Hand Pile,Slash,30.1
3/4/2016,Great Basin Unified APCD,Inyo,Great Basin Valleys,15,15,37.17,-118.287,T12N R18E S17,Individual,Big Pine 30 Acre Field,Hand Pile,UNK,150
3/4/2016,Glenn County APCD,Glenn,Sacramento Valley,40,40,39.807,-122.876,T12N R18E S17,US Forest Service,Snow Basin Machine,Machine Pile,Slash,98700
3/4/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,75,50,38.886,-120.022,T12N R18E S17,US Forest Service,Twin Peaks 204,Hand Pile,Slash,500
3/5/2016,Great Basin Unified APCD,Inyo,Great Basin Valleys,UNK,14.5,37.17,-118.287,"T23N R9W S33,34",Individual,Big Pine 30 Acre Field,Machine Pile,UNK,35778.75
3/5/2016,Glenn County APCD,Glenn,Sacramento Valley,40,40,39.807,-122.876,T12N R18E S17,US Forest Service,Snow Basin Machine,Machine Pile,Slash,98700
3/7/2016,Placer County APCD,Placer,Lake Tahoe,4,1.5,39.19,-120.131,T12N R18E S17,California State Parks,BCSP Hand Piles,Hand Pile,Slash,30
3/7/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,6,3.5,38.951,-120.109,T12N R18E S17,California State Parks,Emerald Bay / So. Bliss burn piles,Hand Pile,Slash,UNK
3/7/2016,Great Basin Unified APCD,Mono,Great Basin Valleys,4,4,37.777,-119.025,"T23N R9W S33,34",US Forest Service,Hartley #4,Hand Pile,Slash,8.4
3/8/2016,Placer County APCD,Placer,Lake Tahoe,3,1,39.19,-120.131,T3S R28E S19 & 30,California State Parks,BCSP Hand Piles,Hand Pile,Slash,20
3/8/2016,Great Basin Unified APCD,Inyo,Great Basin Valleys,3,1.5,37.357,-118.376,T3S R28E S19 & 30,City of Bishop,Bishop Sewer Pond Burn 2014-15,Hand Pile,UNK,4.725
3/8/2016,Great Basin Unified APCD,Mono,Great Basin Valleys,100,5,37.629,-118.929,T3S R28E S19 & 30,US Forest Service,Pit 6,Hand Pile,Slash,15.75
3/8/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,6,5,38.951,-120.109,T3S R28E S19 & 30,California State Parks,Emerald Bay / So. Bliss burn piles,Hand Pile,Slash,UNK
3/8/2016,Glenn County APCD,Glenn,Sacramento Valley,40,40,39.807,-122.876,T3S R28E S19 & 30,US Forest Service,Snow Basin Machine,Machine Pile,Slash,98700
3/9/2016,El Dorado County AQMD,El Dorado,Mountain Counties,3,0.25,38.61,-120.504,T3S R28E S19 & 30,Leoni Meadows Camp,Forest Management Pile Burning,Hand Pile,Slash,0.75
3/9/2016,Santa Barbara County APCD,Santa Barbara,South Central Coast,1,1,34.543,-119.792,T3S R28E S19 & 30,US Forest Service,SB Ranger District Admin Piles,Hand Pile,Natural,2.5
3/9/2016,Placer County APCD,Placer,Lake Tahoe,4,2,39.19,-120.131,T3S R28E S19 & 30,California State Parks,BCSP Hand Piles,Hand Pile,Slash,40
