Managed Area Name,Burn Unit Name,Latitude,Longitude,Start Date,End Date,Type of Burn,Total Acres of Burn,TNC Acres Burned,Other Landowner,Rural or Urban,Burn Lead,StateName,BurnComplexity
Nachusa Grasslands,CCK planting corn stubble,41.8908,-89.3437,11/9/2016,11/9/2016,Broadcast,50,50,,Rural,"[""TNC""]",Illinois,Low
Konza Prairie,FA,39.0704,-96.5797,11/10/2016,11/10/2016,Broadcast,27.401,27.401,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,FB,39.07,-96.5703,11/10/2016,11/10/2016,Broadcast,39,39,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Low
Kankakee Sands,G,41.05885775,-87.42147811,11/14/2016,11/14/2016,Broadcast,90,90,,Rural,"[""TNC""]",Indiana,Low
Harrison County Glades,Buena Vista,38.05846898,-85.97759224,11/15/2016,2/27/2017,Non-broadcast,,,,Rural,"[""TNC""]",Indiana,Low
Kitty Todd Preserve,Fringed Gentian_Mancy North,41.62169537,-83.81163949,11/16/2016,11/16/2016,Broadcast,11,11,,Urban,"[""TNC""]",Ohio,Low
Gravel Hill Prairies,Lookout Point,40.39005086,-86.95767141,11/16/2016,11/16/2016,Broadcast,15,15,,Rural,"[""TNC""]",Indiana,Low
Goodnight Henry Prairie,Goodnight Henry South,38.5725,-93.2164,11/16/2016,11/16/2016,Broadcast,20,20,,Rural,"[""TNC""]",Missouri,Low
Kitty Todd Preserve,Fringed Gentian_AHOPTotty,41.62777448,-83.80061024,11/16/2016,11/16/2016,Broadcast,35,35,,Urban,"[""TNC""]",Ohio,Low
Ottawa Bluffs,"W, C, Bode",44.3638,-93.9342,11/16/2016,11/16/2016,Broadcast,58,48,"[""Private""]",Rural,"[""TNC""]",Minnesota,Medium
Crossman Prairie,Crossman Prairie Central,43.409,-92.475,11/20/2016,11/20/2016,Broadcast,2,2,,Rural,"[""Contractor""]",Iowa,Low
Indiana Tolleston,Ivanhoe East,41.60400648,-87.414634,11/21/2016,11/21/2016,Broadcast,12,12,,Urban,"[""TNC""]",Indiana,Low
Nachusa Grasslands,CCK Slash,41.8908,-89.3437,11/21/2016,11/21/2016,Broadcast,40,40,,Rural,"[""TNC""]",Illinois,Low
Ranch North Woods Preserve,Fields,34.81852514,-92.45976566,11/21/2016,11/21/2016,Broadcast,100,100,,Urban,"[""TNC""]",Arkansas,Medium
Piney Grove Preserve,Units 45/33s,36.9690832,-77.09066279,11/28/2016,11/28/2016,Broadcast,160,160,,Rural,"[""TNC""]",Virginia,Low
Tiger Creek Preserve,PF-8A,27.80589631,-81.48148059,11/29/2016,11/29/2016,Broadcast,35,35,,Rural,"[""TNC""]",Florida,Low
Pawnee Prairie,Northwest and South Units,40.526272,-94.134813,11/29/2016,12/2/2016,Broadcast,319,319,,Rural,"[""TNC""]",Missouri,Low
Love Creek Preserve,Loop unit,29.799889,-99.428636,11/30/2016,11/30/2016,Broadcast,30,30,,Rural,"[""TNC""]",Texas,Medium
Wah'Kon-Tah Prairie,TH-NC,37.899971,-93.995496,11/30/2016,11/30/2016,Broadcast,80,80,,Rural,"[""Government Agency""]",Missouri,Medium
Love Creek Preserve,Well unit,29.798851,-99.423012,11/30/2016,11/30/2016,Broadcast,160,160,,Rural,"[""TNC""]",Texas,Medium
Hart Prairie Preserve,Pile Burns,35.353147,-111.735533,11/30/2016,11/30/2016,Non-broadcast,,,,Rural,"[""TNC""]",Arizona,Low
Love Creek Preserve,Shrub 2,29.789694,-99.4243,12/1/2016,12/1/2016,Broadcast,42,42,,Urban,"[""TNC""]",Texas,Medium
Love Creek Preserve,Shrub 1,29.779645,-99.417632,12/1/2016,12/1/2016,Broadcast,100,100,,Rural,"[""TNC""]",Texas,Medium
Broxton Rocks,17,31.73062252,-82.86218177,12/10/2016,12/10/2016,Broadcast,140,140,,Rural,"[""TNC""]",Georgia,Medium
Oak Ridge Ravines,Wildfire Unit,33.71858867,-93.85780596,12/14/2016,12/14/2016,Broadcast,25,25,,Rural,"[""TNC""]",Arkansas,Medium
Columbus Prairie Preserve,North,33.79439579,-93.81913065,12/15/2016,12/15/2016,Broadcast,80,80,,Rural,"[""TNC""]",Arkansas,Medium
Wah-Sha-She Prairie,Wah-Sha-She,37.311895,-94.601961,12/21/2016,12/21/2016,Broadcast,79,79,,Urban,"[""Government Agency""]",Missouri,Medium
Coburg Ridge Preserve,2016 Pile Burning,44.09979595,-123.0115221,12/23/2016,12/23/2016,Broadcast,230,230,,Urban,"[""Contractor""]",Oregon,Low
Yamhill Oaks - Muddy Valley Preserve,2017 Pile Burning,45.16056553,-123.3074814,1/2/2017,1/2/2017,Broadcast,95,95,,Rural,"[""Contractor""]",Oregon,Low
Moody Forest Natural Area,2,31.92415831,-82.32252132,1/6/2017,1/6/2017,Broadcast,147,147,,Rural,"[""TNC""]",Georgia,Medium
Moody Forest Natural Area,10 north,31.90555479,-82.29852515,1/8/2017,1/8/2017,Broadcast,35,35,,Rural,"[""TNC""]",Georgia,Medium
Flint Rock Managed Area,4,30.18937416,-84.12167548,1/8/2017,1/8/2017,Broadcast,321,321,,Rural,"[""TNC""]",Florida,Low
Flint Rock Managed Area,5,30.18826632,-84.09287929,1/8/2017,1/8/2017,Broadcast,361,361,,Rural,"[""TNC""]",Florida,Low
Broxton Rocks,22 east,31.74989294,-82.86428462,1/9/2017,1/9/2017,Broadcast,17,17,,Rural,"[""TNC""]",Georgia,Medium
Black River,Bucher,34.482,-78.214,1/12/2017,1/12/2017,Broadcast,25,25,,Rural,"[""TNC""]",North Carolina,Medium
Perseverance Barrens,Mainsource,38.12846147,-86.11057386,1/15/2017,2/27/2017,Non-broadcast,,,,Rural,"[""Contractor""]",Indiana,Low
Moody Forest Natural Area,10 southeast,31.90245448,-82.2970296,1/17/2017,1/17/2017,Broadcast,19,19,,Rural,"[""TNC""]",Georgia,Medium
McLean,ML Leamon,34.449219,-77.772768,1/17/2017,1/17/2017,Broadcast,70,70,,Rural,"[""TNC""]",North Carolina,Medium
Broxton Rocks,17,31.73346954,-82.86098014,1/18/2017,1/18/2017,Broadcast,15,15,,Rural,"[""TNC""]",Georgia,Medium
Talisheek,T4,30.59048761,-89.93199253,1/18/2017,1/18/2017,Broadcast,56,56,,Rural,"[""TNC""]",Louisiana,Low
Hart Prairie Preserve,Pile Burns,35.353147,-111.735533,1/18/2017,1/18/2017,Non-broadcast,,,,Rural,"[""TNC""]",Arizona,Low
Calloway,Calloway19,35.0312996,-79.2819977,1/19/2017,1/19/2017,Broadcast,124,124,,Rural,"[""TNC""]",North Carolina,Medium
Green Swamp,GS Calf Island,34.100941,-78.3006,1/23/2017,1/23/2017,Broadcast,35,35,,Rural,"[""TNC""]",North Carolina,Medium
Niobrara Valley Preserve,Brushpiles,42.7828,-100.0345,1/24/2017,1/24/2017,Non-broadcast,,,,Rural,"[""TNC""]",Nebraska,Low
Splinter Hill Bog,4B,31.01219023,-87.69219294,1/25/2017,1/25/2017,Broadcast,20,20,,Rural,"[""TNC""]",Alabama,Low
Fort Perry Black Creek WMA,D15,32.50401697,-84.55527793,1/25/2017,1/25/2017,Broadcast,75,75,,Rural,"[""TNC""]",Georgia,Medium
Calloway,Calloway25,35.0285988,-79.2680969,1/25/2017,1/25/2017,Broadcast,160,160,,Rural,"[""TNC""]",North Carolina,Medium
Sandylands Preserve,Longleaf,30.38504,-94.260311,1/27/2017,1/27/2017,Broadcast,67,67,,Rural,"[""TNC""]",Texas,Medium
Calloway,"Calloway31, Calloway 29",35.0359001,-79.2622986,1/27/2017,1/27/2017,Broadcast,187,69,,Rural,"[""TNC""]",North Carolina,Medium
Calloway,"Calloway 4, Calloway 3",35.0228004,-79.308197,1/28/2017,1/28/2017,Broadcast,152,88,,Rural,"[""TNC""]",North Carolina,Medium
Warren Prairie NA,South Central,33.55883109,-91.96291326,1/30/2017,1/30/2017,Broadcast,417,40,"[""State/Local Government""]",Rural,"[""TNC""]",Arkansas,Medium
Driftwood Plantation,11 & 12,32.92210174,-79.69394977,1/30/2017,1/30/2017,Broadcast,91,91,,Rural,"[""TNC""]",South Carolina,Medium
Wah'Kon-Tah Prairie,WK-8,37.91618,-94.00791,1/30/2017,1/30/2017,Broadcast,93,93,,Rural,"[""Government Agency""]",Missouri,Medium
Driftwood Plantation,15 & 16,32.9141762,-79.6923619,1/31/2017,1/31/2017,Broadcast,90,90,,Rural,"[""TNC""]",South Carolina,Medium
Williams Bluffs,4,31.20781952,-85.08116256,1/31/2017,1/31/2017,Broadcast,102,102,,Rural,"[""TNC""]",Georgia,Medium
Driftwood Plantation,5,32.93089106,-79.68159015,2/1/2017,2/1/2017,Broadcast,95,95,,Rural,"[""TNC""]",South Carolina,Medium
Sandylands Preserve,Bluejack,30.356734,-94.240952,2/1/2017,2/1/2017,Broadcast,142,142,,Rural,"[""TNC""]",Texas,Medium
Niobrara Valley Preserve,Brushpiles,42.7828,-100.0345,2/1/2017,2/1/2017,Non-broadcast,,,,Rural,"[""TNC""]",Nebraska,Low
Barton Creek Preserve,"Church, Creek, Dam and Office",30.308558,-97.916065,2/2/2017,2/2/2017,Broadcast,21.5,21.5,,Urban,"[""TNC""]",Texas,Medium
Black River,Bucher,34.482,-78.214,2/2/2017,2/2/2017,Broadcast,40,40,,Rural,"[""TNC""]",North Carolina,Medium
Driftwood Plantation,14,32.91865782,-79.69874764,2/2/2017,2/2/2017,Broadcast,75,75,,Rural,"[""TNC""]",South Carolina,Medium
Dunahoo Preserve,East,34.5104956,-92.48108171,2/3/2017,2/3/2017,Broadcast,50,50,,Rural,"[""TNC""]",Arkansas,Medium
South Eatmon,4 & 5,33.37463333,-79.84678111,2/4/2017,2/4/2017,Broadcast,210,210,,Rural,"[""TNC""]",South Carolina,Medium
Black River,Bucher,34.482,-78.214,2/5/2017,2/5/2017,Broadcast,40,40,,Rural,"[""TNC""]",North Carolina,Medium
Calloway,Calloway20,35.0285988,-79.2850037,2/6/2017,2/6/2017,Broadcast,31,31,,Rural,"[""TNC""]",North Carolina,Low
Konza Prairie,WA and WB,39.071,-96.5742,2/6/2017,2/6/2017,Broadcast,59.18,59.18,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Low
Dunn Ranch Prairie,Frank Tract,40.494853,-94.115074,2/6/2017,2/6/2017,Broadcast,160,160,,Rural,"[""TNC""]",Missouri,Low
Wah'Kon-Tah Prairie,TH-H,37.898108,-93.992348,2/7/2017,2/7/2017,Broadcast,5,5,,Rural,"[""Government Agency""]",Missouri,Low
Wah'Kon-Tah Prairie,TH-E6,37.889898,-93.983693,2/7/2017,2/7/2017,Broadcast,31,31,,Rural,"[""Government Agency""]",Missouri,Medium
Blue Heaven Cave Preserve,Cave south unit,36.28799302,-92.77817606,2/8/2017,2/8/2017,Broadcast,40,40,,Rural,"[""TNC""]",Arkansas,Medium
Sandylands Preserve,Central Ponds,30.374459,-94.246794,2/8/2017,2/9/2017,Broadcast,480,480,,Rural,"[""TNC""]",Texas,Medium
Niobrara Valley Preserve,Brushpiles,42.7828,-100.0345,2/8/2017,2/8/2017,Non-broadcast,,,,Rural,"[""TNC""]",Nebraska,Low
Talisheek,T2,30.5739493,-89.93077456,2/9/2017,2/9/2017,Broadcast,2,2,,Rural,"[""TNC""]",Louisiana,Low
Blue Heaven Cave Preserve,Cave North unit,36.29305367,-92.77331804,2/9/2017,2/9/2017,Broadcast,80,80,,Rural,"[""TNC""]",Arkansas,Medium
JE Canyon Ranch,Storage Tank,37.38934593,-103.7028673,2/9/2017,2/9/2017,Broadcast,250,250,,Rural,"[""TNC""]",Colorado,Medium
Niobrara Valley Preserve,Brushpiles,42.7828,-100.0345,2/9/2017,2/9/2017,Non-broadcast,,,,Rural,"[""TNC""]",Nebraska,Low
Sandylands Preserve,Fox Run,30.381172,-94.24465,2/10/2017,2/10/2017,Broadcast,114,114,,Rural,"[""TNC""]",Texas,Medium
Sandy Island Preserve,10,33.53888734,-79.13939769,2/10/2017,2/10/2017,Broadcast,245,245,,Rural,"[""TNC""]",South Carolina,Medium
Sandy Island Preserve,7,33.56592554,-79.11828334,2/11/2017,2/12/2017,Broadcast,654,654,,Rural,"[""TNC""]",South Carolina,Medium
Sandy Island Preserve,Brookgreen,33.55004699,-79.12952716,2/12/2017,2/12/2017,Broadcast,857,857,,Rural,"[""TNC""]",South Carolina,Medium
Splinter Hill Bog,"8A, B and C",31.00170709,-87.70729914,2/13/2017,2/13/2017,Broadcast,171,171,,Rural,"[""TNC""]",Alabama,Medium
Sandy Island Preserve,9,33.52894259,-79.13330371,2/13/2017,2/13/2017,Broadcast,291,291,,Rural,"[""TNC""]",South Carolina,Medium
Talisheek,t2,30.57484678,-89.92948683,2/14/2017,2/14/2017,Broadcast,8,8,,Rural,"[""TNC""]",Louisiana,Low
Bibb County Glades Preserve,Unit 7-1,33.04266666,-87.05073729,2/14/2017,2/14/2017,Broadcast,89,89,,Rural,"[""TNC""]",Alabama,Medium
Piney Grove Preserve,Units 16/57,36.9539668,-77.08439723,2/14/2017,2/14/2017,Broadcast,90,90,,Rural,"[""TNC""]",Virginia,Low
McLean,ML Johnson,34.451144,-77.765227,2/14/2017,2/14/2017,Broadcast,110,110,,Rural,"[""TNC""]",North Carolina,Medium
Moody Forest Natural Area,7,31.9117262,-82.29956161,2/16/2017,2/16/2017,Broadcast,7,7,,Rural,"[""TNC""]",Georgia,Medium
Emiquon,Randall Hill Prairie,40.3241,-90.098,2/16/2017,2/16/2017,Broadcast,18,18,,Rural,"[""TNC""]",Illinois,Low
Boiling Spring Lakes,Flytrap Gardens,33.9999,-78.0588,2/17/2017,2/17/2017,Broadcast,15,15,,Urban,"[""TNC""]",North Carolina,Medium
Red Creek,RC2,30.69471398,-88.72200969,2/17/2017,2/17/2017,Broadcast,93,93,,Rural,"[""TNC""]",Mississippi,Medium
Indian Boundary Prairies,Sundrop- Southeast unit,41.61928658,-87.69881808,2/19/2017,2/19/2017,Broadcast,8,8,,Urban,"[""Contractor""]",Illinois,Low
Nachusa Grasslands,CCK South of Creek,41.8908,-89.3437,2/19/2017,2/19/2017,Broadcast,26,26,,Rural,"[""TNC""]",Illinois,Low
Orton Creek,Orton Creek Plantation Unit 5,33.992,-78.053,2/19/2017,2/19/2017,Broadcast,35,35,,Urban,"[""TNC""]",North Carolina,Medium
Nachusa Grasslands,CCK East of Creek,41.8908,-89.3437,2/19/2017,2/19/2017,Broadcast,79,79,,Rural,"[""TNC""]",Illinois,Low
Nachusa Grasslands,CCK Sand Farm,41.891,-89.344,2/19/2017,2/19/2017,Broadcast,150,150,,Rural,"[""TNC""]",Illinois,Low
Juniper Creek,Ingram 2 south and 3a,32.49207255,-84.59158431,2/20/2017,2/20/2017,Broadcast,425,425,,Rural,"[""TNC""]",Georgia,Medium
Nachusa Grasslands,Main Unit S,41.8908,-89.3437,2/21/2017,2/21/2017,Broadcast,150,150,,Rural,"[""TNC""]",Illinois,Low
Juniper Creek,L11,32.50843238,-84.62469964,2/21/2017,2/21/2017,Broadcast,161,161,,Rural,"[""TNC""]",Georgia,Medium
Shaken Creek,Shelter Swamp,34.603,-77.65,2/21/2017,2/21/2017,Broadcast,337,337,,Rural,"[""TNC""]",North Carolina,Medium
Nachusa Grasslands,Hook Larson Prairie,41.8908,-89.3437,2/21/2017,2/21/2017,Broadcast,390,390,,Rural,"[""TNC""]",Illinois,Low
Calloway,Calloway36,35.0223999,-79.2639999,2/22/2017,2/22/2017,Broadcast,139,139,,Rural,"[""TNC""]",North Carolina,Medium
Green Swamp,GS Big Island,34.088082,-78.21429,2/23/2017,2/23/2017,Broadcast,2,2,,Rural,"[""TNC""]",North Carolina,Medium
Indian Boundary Prairies,Markham North- Northeast unit,41.61319063,-87.68499934,2/23/2017,2/23/2017,Broadcast,4.5,4.5,,Urban,"[""Contractor""]",Illinois,Low
Nassawango Creek Preserve,"U2, U16",38.30276,-75.47268,2/24/2017,2/24/2017,Broadcast,164,164,,Rural,"[""TNC""]",Maryland,Medium
Ben Delatour Boy Scout Ranch,Elkhorn Unit 1,40.7373008,-105.5113095,2/24/2017,2/24/2017,Non-broadcast,,,,Rural,"[""TNC""]",Colorado,Low
Cook Meadow Prairie,Northwest Unit,37.418591,-94.133618,2/25/2017,2/25/2017,Broadcast,30,30,,Rural,"[""TNC""]",Missouri,Medium
Cook Meadow Prairie,Northeast Unit,37.418344,-94.127716,2/25/2017,2/25/2017,Broadcast,43,43,,Rural,"[""TNC""]",Missouri,Medium
Sandylands Preserve,Grasspond,30.387796,-94.247011,2/25/2017,2/25/2017,Broadcast,215,215,,Rural,"[""TNC""]",Texas,Medium
Indian Boundary Prairies,Paintbrush- Farmer Fred's,41.60812093,-87.7064141,2/27/2017,2/27/2017,Broadcast,9,9,,Urban,"[""Contractor""]",Illinois,Low
Nassawango Creek Preserve,U6,38.3001,-75.46658,2/27/2017,2/27/2017,Broadcast,53,53,,Rural,"[""TNC""]",Maryland,Low
Kankakee Sands,C,41.08331712,-87.40639425,2/27/2017,2/27/2017,Broadcast,101,101,,Rural,"[""TNC""]",Indiana,Low
Kankakee Sands,B,41.09028013,-87.42098547,2/27/2017,2/27/2017,Broadcast,133,133,,Rural,"[""TNC""]",Indiana,Low
Nachusa Grasslands,Main Unit North,41.8908,-89.3437,2/27/2017,2/27/2017,Broadcast,166,166,,Rural,"[""TNC""]",Illinois,Low
Indianapolis Zoo,Africa Exhibit,39.766543,-86.18212677,2/27/2017,2/27/2017,Non-broadcast,,,,Urban,"[""TNC""]",Indiana,Low
Niobrara Valley Preserve,Brushpiles,42.7828,-100.0345,2/28/2017,2/28/2017,Non-broadcast,,,,Rural,"[""TNC""]",Nebraska,Low
Nickel Preserve,Black Bear Unit,36.03636,-94.84272,3/2/2017,3/2/2017,Broadcast,724,724,,Rural,"[""Contractor""]",Oklahoma,Low
Flint Rock Managed Area,"6,7,8,9",30.18474649,-84.05279636,3/2/2017,3/3/2017,Broadcast,"2,149","2,149",,Rural,"[""TNC""]",Florida,Low
Nickel Preserve,Pumpkin Flats South Field,36.02553,-94.84506,3/3/2017,3/3/2017,Broadcast,75,75,,Rural,"[""Contractor""]",Oklahoma,Low
Broxton Rocks,8-9-10-11,31.74033021,-82.86278258,3/3/2017,3/3/2017,Broadcast,202,202,,Rural,"[""TNC""]",Georgia,Medium
Silver Run Preserve,Silver Run,35.069985,-83.057658,3/4/2017,3/4/2017,Broadcast,385,385,,Rural,"[""Government Agency""]",North Carolina,Medium
Niobrara Valley Preserve,Brushpiles,42.7828,-100.0345,3/5/2017,3/5/2017,Non-broadcast,,,,Rural,"[""TNC""]",Nebraska,Low
Moody Forest,10 southwest,31.90434897,-82.30247985,3/6/2017,3/6/2017,Broadcast,60,60,,Rural,"[""TNC""]",Georgia,Medium
Shady Valley Preserve,John R Dickey Preserve,36.56384423,-81.86729534,3/7/2017,3/7/2017,Broadcast,25,25,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Tennessee,Low
Tallgrass Prairie Preserve,West John Lee,36.842504,-96.371923,3/7/2017,3/7/2017,Broadcast,285,285,,Rural,"[""TNC""]",Oklahoma,Low
Stone Prairie Ranch Preserve,Wildfire OPS,34.97074485,-92.32503294,3/8/2017,3/8/2017,Broadcast,10,10,,Rural,"[""TNC""]",Arkansas,Medium
Green River,Davis Bend Unit 1,37.3055,-85.72022,3/8/2017,3/8/2017,Broadcast,25,25,,Rural,"[""TNC""]",Kentucky,Medium
Indian Boundary Prairies,Sundrop- Northeast unit,41.62140399,-87.69894683,3/9/2017,3/9/2017,Broadcast,8,8,,Urban,"[""Contractor""]",Illinois,Low
Kingsland Prairie ,Cottonmouth Creek Blackline,33.85443343,-92.25357889,3/9/2017,3/9/2017,Broadcast,10,10,,Rural,"[""TNC""]",Arkansas,Medium
Abita Creek Flatwoods,A4 and A9,30.50670323,-89.96610812,3/9/2017,3/9/2017,Broadcast,20,20,,Rural,"[""TNC""]",Louisiana,Low
Black River,Bucher,34.482,-78.214,3/9/2017,3/9/2017,Broadcast,21,21,,Rural,"[""TNC""]",North Carolina,Medium
Nachusa Grasslands,Senger,41.8908,-89.3437,3/9/2017,3/9/2017,Broadcast,31,31,,Rural,"[""TNC""]",Illinois,Low
Fawn River Fen,1 & 2,41.7526363,-85.41151739,3/9/2017,3/9/2017,Broadcast,34,34,,Rural,"[""TNC""]",Indiana,Low
Dunn Ranch Prairie,Units D2 and D16,40.492132,-94.087207,3/9/2017,3/9/2017,Broadcast,96,96,,Rural,"[""TNC""]",Missouri,Low
Nachusa Grasslands,Hotchkiss,41.8908,-89.3437,3/9/2017,3/9/2017,Broadcast,122,122,,Rural,"[""TNC""]",Illinois,Low
Tallgrass Prairie Preserve,Spring Trap East,36.854938,-96.418282,3/9/2017,3/9/2017,Broadcast,250,250,,Rural,"[""TNC""]",Oklahoma,Low
Chilton Creek Preserve,Chilton North,37.09458347,-91.08853288,3/9/2017,3/15/2017,Broadcast,465,465,,Rural,"[""TNC""]",Missouri,Medium
Konza Prairie,AL/K1A/C1SB/K4A,39.1001,-96.5909,3/9/2017,3/9/2017,Broadcast,739.479,739.479,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Indian Boundary Prairies,Sundrop- South central unit,41.61941491,-87.70156466,3/10/2017,3/10/2017,Broadcast,8,8,,Urban,"[""Contractor""]",Illinois,Low
Indian Boundary Prairies,Sundrop- North central unit,41.62143607,-87.70117842,3/10/2017,3/10/2017,Broadcast,8,8,,Urban,"[""Contractor""]",Illinois,Low
Harrison County Glades,Buena Vista,38.05831529,-85.97754932,3/10/2017,3/10/2017,Broadcast,16,16,,Rural,"[""TNC""]",Indiana,Low
Konza Prairie,C3SA/C1A/C3B,39.1123,-96.5598,3/10/2017,3/10/2017,Broadcast,648.512,648.512,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Moody Forest Natural Area,7 west,31.911198,-82.31059079,3/11/2017,3/11/2017,Broadcast,21,21,,Rural,"[""TNC""]",Georgia,Medium
Nachusa Grasslands,Orland Prairie & Middle Woods,41.8908,-89.3437,3/12/2017,3/12/2017,Broadcast,247,247,,Rural,"[""TNC""]",Illinois,Low
Tallgrass Prairie Preserve,HQ Buildings,36.846261,-96.419648,3/15/2017,3/15/2017,Broadcast,1,1,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,HQ Buildings,36.845952,-96.421011,3/15/2017,3/15/2017,Broadcast,14,14,,Rural,"[""TNC""]",Oklahoma,Low
Wah'Kon -Tah Prairie,WK-J3,37.914456,-94.00791,3/15/2017,3/15/2017,Broadcast,37,37,,Rural,"[""Government Agency""]",Missouri,Medium
Bonnie Doone,3,32.82295833,-80.59496222,3/15/2017,3/15/2017,Broadcast,41,41,,Rural,"[""TNC""]",South Carolina,Medium
Wah'Kon-Tah Prairie,WK-5E,37.910732,-93.983169,3/15/2017,3/15/2017,Broadcast,54,54,,Rural,"[""Government Agency""]",Missouri,Medium
Spring Green Preserve,Spring Green Bluffs East,43.20622906,-90.04674337,3/15/2017,3/15/2017,Broadcast,70,70,,Rural,"[""TNC""]",Wisconsin,Low
Fort Perry Black Creek WMA,B12,32.5043789,-84.5571662,3/15/2017,3/15/2017,Broadcast,78,78,,Rural,"[""TNC""]",Georgia,Medium
Konza Prairie,HQA/HQB/HQC,39.1054,-96.6137,3/15/2017,3/15/2017,Broadcast,110.413,110.413,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Splinter Hill Bog,Unit 1,31.02149535,-87.68597022,3/15/2017,3/15/2017,Broadcast,259,251,"[""State/Local Government""]",Rural,"[""TNC""]",Alabama,Medium
Rock Hill Preserve,"1,2,3,4,6",30.74356173,-85.49110412,3/15/2017,3/15/2017,Broadcast,400,400,,Rural,"[""TNC""]",Florida,Medium
Tallgrass Prairie Preserve,Bass Sand creeks / TGP Trail,36.853121,-96.433597,3/15/2017,3/15/2017,Broadcast,"2,401",718,,Rural,"[""TNC""]",Oklahoma,Low
Spring Green Preserve,Spring Green West Bluffs,43.2112282,-90.09657137,3/16/2017,3/16/2017,Broadcast,20,20,,Rural,"[""TNC""]",Wisconsin,Medium
Big Barrens ,Knight - East Field and Flat Rock East ,37.4781,-86.02565,3/16/2017,3/16/2017,Broadcast,28,28,,Rural,"[""TNC""]",Kentucky,Medium
Bonnie Doone,1,32.82508167,-80.58567194,3/16/2017,3/16/2017,Broadcast,65,65,,Rural,"[""TNC""]",South Carolina,Medium
Piney Grove Preserve,Units 13/14,36.9642142,-77.09059105,3/16/2017,3/16/2017,Broadcast,103,103,,Rural,"[""TNC""]",Virginia,Low
Broxton Rocks,5,31.74595159,-82.85472131,3/16/2017,3/16/2017,Broadcast,129,129,,Rural,"[""TNC""]",Georgia,Medium
Platte River Prairies,Caveny South Side,40.775,-98.508,3/16/2017,3/16/2017,Broadcast,160,160,,Rural,"[""TNC""]",Nebraska,Medium
Green Swamp,GS Meyers 2,34.06148,-78.275485,3/16/2017,3/16/2017,Broadcast,270,270,,Rural,"[""TNC""]",North Carolina,Medium
Konza Prairie,N1Ane/K20A,39.0963,-96.5858,3/16/2017,3/16/2017,Broadcast,289.014,289.014,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Chilton Creek Preserve,Kelley Hollow South,37.071116,-91.085929,3/16/2017,3/18/2017,Broadcast,410,410,,Rural,"[""TNC""]",Missouri,Medium
Chilton Creek Preserve,Kelly Hollow North ,37.079134,-91.093899,3/16/2017,3/18/2017,Broadcast,465,465,,Rural,"[""TNC""]",Missouri,Medium
Fort Perry Black Creek WMA,H7,32.55380449,-84.49279319,3/17/2017,3/17/2017,Broadcast,1,1,,Rural,"[""TNC""]",Georgia,Medium
Nassawango Creek Preserve,"U66, U8E",38.311,-75.48794,3/17/2017,3/17/2017,Broadcast,36,36,,Rural,"[""TNC""]",Maryland,Low
Piney Grove Preserve,Unit 51,36.96596296,-77.05179427,3/17/2017,3/17/2017,Broadcast,41,41,,Rural,"[""TNC""]",Virginia,Low
Broxton Rocks,1 and 16,31.7271891,-82.8547487,3/17/2017,3/17/2017,Broadcast,118,68,,Rural,"[""TNC""]",Georgia,Medium
Tiger Creek Preserve,"PF-7,11,12a",27.8139815,-81.48083686,3/17/2017,3/17/2017,Broadcast,105,105,,Rural,"[""TNC""]",Florida,Low
Niobrara Valley Preserve Training Exchange,Niobrara,42.783553,-100.0274,3/17/2017,4/2/2017,Broadcast,"2,848","2,848",,Rural,"[""TNC""]",Nebraska,Medium
Tallgrass Prairie Preserve,Mary L. & East Home,36.854477,-96.405827,3/18/2017,3/18/2017,Broadcast,"1,073","1,073",,Rural,"[""TNC""]",Oklahoma,Low
Calloway,"Calloway24, Calloway 21",35.0266991,-79.2743988,3/19/2017,3/19/2017,Broadcast,100,100,,Rural,"[""TNC""]",North Carolina,Low
Nachusa Grasslands,Main Unit Stonebarn to Naylor,41.8908,-89.3437,3/19/2017,3/19/2017,Broadcast,301,301,,Rural,"[""TNC""]",Illinois,Low
