Ignition Date,Agency,Office,District,Burn Number,Burn Name,Daily Burn Acres Requested,Acres Burned,Location
3/2/2016,Arizona Department of Transportation (ADOT),,Arizona (ADOT),ADOT1209B,Arizona Department of Transportation hwy 89-A houserock valley,15,10,(36.707; -111.78300000000001)
3/2/2016,Department of Defense,,Ft Huachuca,XXH1605B,Fortwide FY16,1592,456,(31.590631044238968; -110.31718902587892)
3/2/2016,U.S. Forest Service,Apache Sitgreaves,Lakeside,ASF0774B,Rodeo-Chediski Broadcast East,100,60,(34.227800844564015; -110.27151527254284)
3/2/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0737B,Bar T Bar,1000,1000,(NaN;  NaN)
3/3/2016,Arizona Department of Transportation (ADOT),,Arizona (ADOT),ADOT1209B,Arizona Department of Transportation hwy 89-A houserock valley,15,0,(36.707; -111.78300000000001)
3/3/2016,U.S. Forest Service,Apache Sitgreaves,Lakeside,ASF0774B,Rodeo-Chediski Broadcast East,300,240,(34.22922014108144; -110.2621854756577)
3/3/2016,U.S. Forest Service,Apache Sitgreaves,Springerville,ASF0630B,Mineral Broadcast,454,454,(34.20035037491966; -109.65539528656006)
3/3/2016,U.S. Forest Service,Prescott,Verde,PNF0509P,East Side Piles,2,2,(34.68169200862269; -112.0021792117916)
3/3/2016,U.S. Forest Service,Prescott,Verde,PNF0509P,East Side Piles,2,2,(34.72165932890126; -112.05141167689021)
3/4/2016,U.S. Forest Service,Apache Sitgreaves,Lakeside,ASF0774B,Rodeo-Chediski Broadcast East,300,300,(34.23; -110.26099999999997)
3/4/2016,U.S. Forest Service,,Payson,TNF0401P,Payson Pits,1,1,(34.25877838801951; -111.19520625305176)
3/4/2016,U.S. Forest Service,Apache Sitgreaves,Springerville,ASF0630B,Mineral Broadcast,992,0,(34.19222178839688; -109.585142868042)
3/5/2016,U.S. Forest Service,Apache Sitgreaves,Lakeside,ASF0774B,Rodeo-Chediski Broadcast East,300,300,(NaN;  NaN)
3/7/2016,U.S. Forest Service,Coronado,Safford,CNF0417B,Galiuros (Muleshoe unit),500,250,(32.50194640246553; -110.21711462402345)
3/8/2016,U.S. Forest Service,Coronado,Safford,CNF0417B,Galiuros (Muleshoe unit),500,0,(32.50484184792196; -110.21574133300782)
3/8/2016,U.S. Forest Service,Coconino,Red Rock,COF0605P,Red Rock Piles,5,1,(34.72564454299369; -111.55090921950153)
3/8/2016,U.S. Forest Service,Prescott,Verde,PNF0509P,East Side Piles,5,0,(34.69817098967129; -112.13914781817607)
3/9/2016,Bureau of Land Management,,Arizona Strip (ASD),ASD2001P,AZ-Strip District Fuel Breaks Pile Burn,20,20,(36.35528047978992; -113.12153825378408)
3/10/2016,Department of Defense,,Ft Huachuca,XXH1605B,Fortwide FY16,1600,1600,(31.60539842938828; -110.34087829589845)
3/10/2016,U.S. Forest Service,Coronado,Safford,CNF0417B,Galiuros (Muleshoe unit),500,350,(32.497313495824734; -110.2143680419922)
3/10/2016,U.S. Forest Service,Apache Sitgreaves,Springerville,ASF0630B,Mineral Broadcast,992,694,(34.190269391091775; -109.58780361938477)
3/10/2016,U.S. Forest Service,Coconino,Red Rock,COF0610B,Cedar Flat Broadcast,700,700,(34.602; -111.60899999999998)
3/11/2016,U.S. Forest Service,Coronado,Safford,CNF0417B,Galiuros (Muleshoe unit),3000,1800,(32.468352423271895; -110.21780126953126)
3/12/2016,U.S. Forest Service,Coronado,Safford,CNF0417B,Galiuros (Muleshoe unit),2500,400,(32.506;  -110.25900000000001)
3/12/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0737B,Bar T Bar,15,15,(34.73161191238825; -111.04234387207032)
3/13/2016,U.S. Forest Service,Coronado,Safford,CNF0417B,Galiuros (Muleshoe unit),2500,2500,(32.506; -110.25900000000001)
3/14/2016,U.S. Forest Service,Coronado,Safford,CNF0417B,Galiuros (Muleshoe unit),2500,2000,(32.506; -110.25900000000001)
3/14/2016,U.S. Forest Service,Apache Sitgreaves,Clifton,ASF323B,Sunset,250,250,(33.10056058939256; -109.07590560913087)
3/15/2016,U.S. Forest Service,Coronado,Safford,CNF0417B,Galiuros (Muleshoe unit),4000,2800,(32.506; -110.25900000000001)
3/15/2016,U.S. Forest Service,Apache Sitgreaves,Clifton,ASF323B,Sunset,1000,1000,(33.117240157861694; -109.08139877319337)
3/16/2016,U.S. Forest Service,Coronado,Safford,CNF0417B,Galiuros (Muleshoe unit),2500,300,(32.465455803475805; -110.23908728027345)
3/16/2016,U.S. Forest Service,Apache Sitgreaves,Springerville,ASF0628B,Greer WUI,898,853,(34.11860973032898; -109.4851560783386)
3/17/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0214B,Pete,250,250,(35.39257665166618; -111.5856494384766)
3/17/2016,U.S. Forest Service,Apache Sitgreaves,Clifton,ASF323B,Sunset,1000,1000,(33.12126578616568; -109.08414535522462)
3/18/2016,U.S. Forest Service,Apache Sitgreaves,Clifton,ASF323B,Sunset,814,814,(33.119540539486614; -109.08071212768556)
3/21/2016,Arizona Department of Transportation (ADOT),,Arizona (ADOT),ADOT1601NEP,US 180 MP 373 - 392,1,1,(34.285476561980964; -109.36858825683595)
3/21/2016,U.S. Forest Service,Apache Sitgreaves,Clifton,ASF314,Mesa Re-Entry Block C,1250,0,(33.34475702938758; -109.35090713500977)
3/21/2016,U.S. Forest Service,Apache Sitgreaves,Lakeside,ASF0773B,Lakeside East Broadcast,300,0,(34.19840628864741; -109.70415536499024)
3/21/2016,U.S. Forest Service,Apache Sitgreaves,Lakeside,ASF0774B,Rodeo-Chediski Broadcast East,300,0,(34.23251283087329; -110.2702449951172)
3/23/2016,U.S. Forest Service,Apache Sitgreaves,Clifton,ASF314,Mesa Re-Entry Block C,1250,0,(33.34590423925249; -109.35537033081056)
3/23/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0522B,Mint West,114,114,(34.902851328340816; -111.44103637485762)
3/23/2016,U.S. Forest Service,Apache Sitgreaves,Lakeside,ASF0774B,Rodeo-Chediski Broadcast East,800,350,(34.22825503279376; -110.26543847656251)
3/24/2016,Department of Defense,,Ft Huachuca,XXH1605B,Fortwide FY16,56,54,(31.54477875744534; -110.335213470459)
3/24/2016,U.S. Forest Service,Apache Sitgreaves,Clifton,ASF314,Mesa Re-Entry Block C,1250,800,(33.35221362332715; -109.35537033081056)
3/24/2016,U.S. Forest Service,Apache Sitgreaves,Lakeside,ASF0774B,Rodeo-Chediski Broadcast East,400,360,(34.229106609631636; -110.26612512207032)
3/25/2016,U.S. Forest Service,Apache Sitgreaves,Clifton,ASF314,Mesa Re-Entry Block C,1500,751,(33.33098933215698; -109.35331039428712)
3/28/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0214B,Pete,300,0,(35.425875217833784; -111.65817637023923)
3/28/2016,U.S. Forest Service,Coconino,Mogollon ,COF740B,Clints,1000,0,(34.626372455451985; -111.30851593017576)
3/30/2016,National Park Service,,Montezuma Castle,MCP-TZP1601PP,Montezuma Castle/Tuzigoot Piles,5,4,(34.76793006947297; -112.02219448089596)
3/30/2016,U.S. Forest Service,Coronado,Safford,CNF0415B,Turkey Flat,20,0,(32.63368703571585; -109.81584201049804)
3/30/2016,U.S. Forest Service,,Payson,TNF0401P,Payson Pits,1,1,(34.069726023937214; -110.97642382812501)
3/30/2016,U.S. Forest Service,Coconino,Mogollon ,COF0703P,Bly Pit,1,1,(34.677952797524824; -111.12005993652343)
3/31/2016,Arizona Department of Transportation (ADOT),,Arizona (ADOT),ADOT1601NEP,US 180 MP 373 - 392,0.5,1,(34.285476561980964; -109.36858825683595)
3/31/2016,U.S. Forest Service,Coronado,Safford,CNF0410P,Safford Misc. Piles,10,10,(32.66983700369364; -109.78866130065921)
4/3/2016,U.S. Forest Service,Kaibab,Tusayan,KNF0421B,Tusayan East,264,123,(35.98625717627935; -112.09506066131592)
4/4/2016,U.S. Forest Service,Apache Sitgreaves,Clifton,ASF314,Mesa Re-Entry Block C,1500,1500,(33.318940812041404; -109.34301071166993)
4/4/2016,U.S. Forest Service,Kaibab,Tusayan,KNF0421B,Tusayan East,264,141,(35.98431253595151; -112.0980647354126)
